Customer ID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,FavoriteCountry,Churned
12346,165,11,372.86,11.298787878787879,70,26,United Kingdom,1
12347,3,2,1323.32,18.63830985915493,828,70,Iceland,0
12348,74,1,222.15999999999997,11.107999999999999,373,20,Finland,0
12349,43,3,2630.34,26.042970297029704,945,89,Italy,0
12351,11,1,300.93,14.33,261,21,Unspecified,0
12352,11,2,343.8,19.1,188,18,Norway,0
12353,44,1,317.76,15.888,192,20,Bahrain,0
12355,203,1,457.01,21.76238095238095,255,21,Bahrain,1
12356,16,3,2094.12,32.720625,774,55,Portugal,0
12357,24,2,10130.47,67.53646666666667,2751,150,Switzerland,0
12358,11,3,1750.01,33.019056603773585,531,50,Austria,0
12359,61,6,2427.36,21.107478260869566,730,108,Cyprus,0
12360,15,5,1522.19,18.121309523809526,1030,70,Austria,0
12361,98,3,321.35,16.913157894736845,144,14,Belgium,1
12362,374,1,130.0,130.0,1,1,Belgium,1
12368,264,1,845.2,49.71764705882353,280,17,Cyprus,1
12369,49,3,1642.43,17.8525,1153,90,Austria,0
12370,260,3,774.62,22.132,252,33,Austria,1
12371,45,3,2179.42,20.95596153846154,845,91,Switzerland,0
12373,260,2,763.0500000000001,20.622972972972974,319,31,Austria,1
12374,57,3,2246.29,44.9258,1020,47,Austria,0
12376,25,2,263.15,26.314999999999998,96,8,Switzerland,0
12377,17,2,1644.1200000000001,22.835,969,72,Switzerland,0
12378,198,1,1373.6200000000001,17.170250000000003,691,80,Switzerland,1
12379,58,2,767.98,18.73121951219512,408,37,Belgium,0
12380,101,7,6669.97,39.46727810650888,2012,117,Belgium,1
12385,15,1,1938.4,29.821538461538463,612,65,Belgium,0
12386,2,1,215.70000000000002,30.814285714285717,94,7,Australia,0
12387,51,1,143.94,15.993333333333332,134,9,Australia,0
12388,81,2,1120.45,24.357608695652175,539,36,Australia,0
12389,38,3,1229.33,25.611041666666665,566,41,Australia,0
12391,100,4,2133.98,12.33514450867052,839,158,Cyprus,1
12392,227,1,234.75000000000003,33.53571428571429,73,7,Australia,1
12393,18,2,816.85,18.996511627906976,495,38,Australia,0
12395,7,4,1751.04,19.456,1015,80,Belgium,0
12396,310,1,931.4300000000001,14.329692307692309,591,65,RSA,1
12399,21,3,633.09,15.07357142857143,564,33,Belgium,0
12400,50,1,205.25,18.65909090909091,91,11,Australia,0
12402,28,5,1031.3,17.47966101694915,490,40,Belgium,0
12403,157,1,103.5,51.75,20,2,Denmark,1
12404,318,1,63.24,63.24,1,1,Finland,1
12406,35,3,2218.02,41.074444444444445,910,40,Denmark,0
12408,21,3,1230.94,24.13607843137255,644,40,Belgium,0
12409,56,3,4998.68,67.54972972972973,1544,65,Switzerland,0
12410,138,1,320.38,22.884285714285713,130,14,Switzerland,1
12411,45,1,346.9,15.768181818181818,138,22,Australia,0
12412,38,3,1217.41,20.290166666666668,880,44,Denmark,0
12413,38,1,241.35,18.565384615384616,33,13,Spain,0
12414,99,3,390.0,39.0,195,9,Austria,1
12415,11,7,5604.4,48.313793103448276,1705,111,Australia,0
12416,292,1,202.56,18.414545454545454,132,11,Australia,1
12417,46,11,3065.15,17.71763005780347,1134,141,Belgium,0
12418,49,3,1338.7,19.980597014925372,633,60,Switzerland,0
12419,21,2,503.01,20.1204,231,23,Spain,0
12421,51,2,291.56,14.578,168,18,Spain,0
12422,30,14,3524.84,28.657235772357726,1090,102,Switzerland,0
12423,23,2,763.08,19.077,454,38,Belgium,0
12424,58,2,1244.03,22.618727272727273,877,52,Australia,0
12425,84,1,923.89,17.43188679245283,555,53,Portugal,0
12426,298,1,762.48,16.222978723404257,326,47,Germany,1
12427,7,1,303.5,30.35,79,10,Germany,0
12429,1,5,2562.39,40.67285714285714,1019,57,Denmark,0
12431,9,13,3952.92,23.529285714285713,1523,131,Belgium,0
12433,2,5,5742.03,22.96812,3978,150,Norway,0
12434,17,1,297.29,14.864500000000001,138,20,Australia,0
12435,32,3,3165.88,55.541754385964914,1127,56,Denmark,0
12437,31,21,7311.99,20.772698863636364,4402,212,France,0
12439,318,2,1142.88,16.096901408450705,478,69,Cyprus,1
12440,98,2,859.2,26.85,331,21,Austria,1
12441,2,1,173.55,15.77727272727273,121,11,France,0
12443,368,1,485.31,23.11,182,21,Norway,1
12445,56,1,301.58000000000004,15.079000000000002,144,20,Spain,0
12449,46,2,151.2,50.4,77,3,Denmark,0
12450,35,3,490.32,16.90758620689655,314,25,Spain,0
12451,99,3,3347.2200000000003,22.61635135135135,2174,141,Switzerland,1
12454,31,4,1214.0,303.5,121,2,Spain,0
12455,81,4,3086.69,22.86437037037037,1085,121,Cyprus,0
12457,71,1,596.2,28.390476190476193,155,21,Switzerland,0
12458,63,2,830.09,18.045434782608698,480,44,Switzerland,0
12459,241,1,434.2,19.736363636363635,210,22,Spain,1
12460,92,1,326.65,18.147222222222222,170,18,Belgium,1
12466,318,1,56.73,56.73,1,1,France,1
12467,59,1,132.8,14.755555555555556,129,9,USA,0
12468,162,3,2295.12,23.183030303030304,1211,91,Germany,1
12469,158,1,1113.7,16.874242424242425,524,66,Thailand,1
12470,325,1,211.95,9.215217391304348,95,23,Unspecified,1
12471,10,49,18847.18,28.470060422960724,7714,155,Germany,0
12472,5,13,11069.92,19.627517730496454,6818,306,Germany,0
12474,14,13,5008.34,17.635,3011,197,Germany,0
12475,45,1,426.26,17.0504,236,25,Germany,0
12476,32,12,7034.21,25.766336996336996,2787,220,Germany,0
12477,35,3,6723.63,25.662709923664124,2358,209,Germany,0
12480,35,3,1865.22,21.439310344827586,945,78,Germany,0
12481,1,6,4457.05,31.610283687943262,2103,113,Germany,0
12482,233,15,3403.0,103.12121212121212,846,10,Sweden,1
12483,14,10,2173.6,36.840677966101694,846,34,Sweden,0
12484,119,6,1602.5,12.718253968253968,827,110,Spain,1
12485,165,1,708.1,20.826470588235296,414,34,Sweden,1
12486,67,1,996.0,21.19148936170213,403,47,Sweden,0
12487,366,1,76.5,76.5,30,1,Sweden,1
12490,14,11,4141.2300000000005,19.72014285714286,2170,112,France,0
12492,39,1,452.0,20.545454545454547,252,22,Germany,0
12494,1,3,612.85,18.57121212121212,233,27,France,0
12495,276,1,357.4,21.023529411764706,130,17,Sweden,1
12496,256,2,45.34,4.534000000000001,30,10,Spain,1
12497,36,2,1219.0400000000002,71.70823529411766,565,16,Germany,0
12499,196,1,373.56,14.367692307692307,254,26,Germany,1
12500,71,8,1394.99,17.222098765432097,507,61,Germany,0
12503,220,1,230.0,230.0,1,1,Spain,1
12504,53,2,165.0,20.625,128,7,Germany,0
12505,44,1,955.2,22.742857142857144,324,42,Italy,0
12507,220,1,539.25,19.258928571428573,362,28,Spain,1
12510,95,7,4060.57,38.67209523809524,1072,81,Spain,1
12511,64,1,2956.82,15.811871657754011,1609,187,Greece,0
12514,277,1,580.08,17.578181818181818,400,33,Italy,1
12516,66,2,1203.6,27.990697674418602,813,36,Germany,0
12519,112,1,371.78000000000003,17.703809523809525,164,21,Germany,1
12523,10,12,2527.66,17.926666666666666,1300,103,France,0
12524,24,8,3214.51,44.64597222222223,1299,57,Germany,0
12525,134,3,973.73,16.228833333333334,509,56,France,1
12527,130,2,266.8,22.233333333333334,196,11,Germany,1
12529,164,1,316.48,15.07047619047619,192,21,France,1
12530,51,5,1654.22,19.69309523809524,1068,62,Germany,0
12531,322,1,1807.98,16.43618181818182,1074,110,Germany,1
12533,263,2,1367.89,18.998472222222222,704,63,Germany,1
12537,44,1,732.94,17.04511627906977,449,43,Sweden,0
12538,14,1,276.5,21.26923076923077,145,13,Spain,0
12539,86,3,5444.8,23.7764192139738,2372,126,Spain,0
12540,14,16,8285.130000000001,28.767812500000005,3870,170,Spain,0
12542,120,2,441.56,11.934054054054053,426,37,Spain,1
12543,84,1,835.05,20.87625,468,40,Spain,0
12547,136,1,175.78,13.521538461538462,175,13,Spain,1
12549,211,5,944.72,23.618000000000002,622,33,USA,1
12553,21,2,916.47,19.49936170212766,360,39,France,0
12554,84,1,468.5,18.01923076923077,240,26,Spain,0
12555,318,1,129.23,129.23,1,1,Spain,1
12557,68,1,491.34000000000003,44.66727272727273,342,11,Spain,0
12562,21,2,1081.5,28.460526315789473,404,32,France,0
12563,44,1,249.24,19.172307692307694,113,13,Italy,0
12567,3,7,4267.78,22.228020833333332,1733,145,France,0
12568,280,1,70.0,14.0,48,5,Germany,1
12570,318,1,77.52,77.52,1,1,Spain,1
12573,17,4,556.87,6.11945054945055,395,83,France,0
12575,93,2,622.82,16.39,315,34,France,1
12576,28,3,826.89,15.312777777777777,527,51,Poland,0
12577,17,5,908.9,6.059333333333333,626,142,France,0
12578,21,2,1459.14,27.530943396226416,692,49,Italy,0
12580,212,1,637.2,18.741176470588236,331,34,Germany,1
12582,58,2,1442.64,18.033,637,78,Finland,0
12583,9,13,6873.54,32.57601895734597,3424,86,France,0
12586,10,3,1865.73,22.47867469879518,608,76,Italy,0
12588,35,3,743.88,20.663333333333334,385,27,Finland,0
12589,57,6,4048.98,27.924,1458,100,France,0
12591,26,2,886.1,21.097619047619048,425,38,Italy,0
12592,155,3,1741.8600000000001,40.50837209302326,625,22,Germany,1
12594,14,5,1535.89,19.690897435897437,691,59,Italy,0
12595,140,1,258.7,15.217647058823529,175,17,Germany,1
12598,99,3,1410.21,20.437826086956523,702,64,France,1
12599,17,6,1193.58,17.81462686567164,1041,34,France,0
12600,7,12,2444.88,35.95411764705882,640,32,Germany,0
12601,40,1,104.2,17.366666666666667,45,6,Germany,0
12605,12,4,1232.95,16.223026315789475,929,63,Germany,0
12606,318,1,21.0,21.0,1,1,Spain,1
12608,40,1,159.95000000000002,13.329166666666667,83,12,United Kingdom,0
12609,10,6,2309.01,20.078347826086958,905,84,Germany,0
12613,24,5,3263.71,19.42684523809524,1553,128,Germany,0
12615,49,4,3368.67,20.79425925925926,1797,144,France,0
12616,24,1,417.8,18.990909090909092,214,22,France,0
12619,196,1,140.14,14.014,140,10,Germany,1
12621,1,16,8149.6,29.315107913669067,3610,161,Germany,0
12623,52,6,3428.82,22.265064935064935,1732,108,Germany,0
12625,145,2,2371.62,25.23,1505,82,Germany,1
12629,21,2,1385.42,32.21906976744186,626,39,Sweden,0
12631,92,5,2841.07,18.69125,1371,105,Finland,1
12632,156,2,777.76,23.568484848484847,522,30,Germany,1
12633,18,3,3438.34,17.1917,1836,177,Germany,0
12634,171,2,490.0,24.5,337,20,USA,1
12635,28,2,1241.23,15.913205128205128,777,77,Germany,0
12636,374,1,141.0,141.0,1,1,USA,1
12637,14,4,2260.75,9.786796536796537,1215,161,France,0
12638,275,1,249.8,27.755555555555556,86,9,Sweden,1
12639,70,2,826.27,19.673095238095236,430,39,Sweden,0
12643,21,4,606.0,86.57142857142857,163,4,France,0
12644,66,3,1440.58,18.00725,707,76,Germany,0
12645,45,4,1764.12,20.277241379310343,1041,72,Germany,0
12647,3,26,11495.38,27.969294403892942,4086,210,Germany,0
12648,73,3,753.15,17.515116279069765,310,31,Germany,0
12649,18,4,1468.94,18.135061728395062,939,70,Germany,0
12651,14,3,263.75,12.55952380952381,187,21,France,0
12652,70,1,97.05000000000001,32.35,31,3,Germany,0
12653,162,1,1950.98,45.37162790697675,762,43,Israel,1
12655,59,1,261.35,16.334375,80,16,France,0
12656,61,3,2356.66,19.476528925619835,1137,108,France,0
12661,72,1,162.0,14.727272727272727,216,11,Sweden,0
12662,9,10,3138.2400000000002,17.830909090909092,1523,94,Germany,0
12663,260,2,160.20000000000002,20.025000000000002,37,7,Germany,1
12664,150,2,520.0,104.0,100,3,Finland,1
12665,53,2,250.6,17.9,128,13,Germany,0
12666,30,1,1248.42,40.27161290322581,370,31,Israel,0
12668,14,6,7555.72,20.20245989304813,3367,232,Germany,0
12670,21,2,764.24,33.22782608695652,230,21,France,0
12671,242,1,1766.161,49.060027777777776,700,36,Germany,1
12672,231,1,211.15,17.595833333333335,60,12,France,1
12673,37,1,619.5,19.359375,349,32,Germany,0
12675,189,2,957.25,8.546875,336,111,Italy,1
12676,44,5,1300.98,23.65418181818182,813,41,Sweden,0
12677,191,2,395.1,18.814285714285717,176,13,France,1
12678,11,9,4310.06,56.71131578947369,1781,61,France,0
12681,3,24,16210.02,20.06190594059406,8980,331,France,0
12682,1,23,11690.01,22.921588235294116,5251,208,France,0
12683,1,8,4220.21,21.42238578680203,2696,143,France,0
12686,7,1,89.14,12.734285714285715,107,7,France,0
12687,116,2,2098.59,16.924112903225808,1307,124,Sweden,1
12691,56,1,134.6,19.228571428571428,51,7,France,0
12692,273,1,110.95,8.534615384615385,36,13,France,1
12693,32,3,847.11,21.17775,281,35,Germany,0
12694,57,1,973.68,21.16695652173913,846,46,France,0
12695,164,3,825.02,25.781875,234,28,France,1
12696,70,2,851.91,17.38591836734694,564,43,Finland,0
12698,226,1,339.75,21.234375,111,16,Germany,1
12699,53,1,638.11,15.563658536585367,373,41,Germany,0
12701,165,4,1608.38,17.48239130434783,953,78,Germany,1
12703,269,3,722.98,13.641132075471699,431,44,Germany,1
12705,19,5,4893.81,18.467207547169814,3191,196,Germany,0
12708,4,9,2587.27,17.021513157894738,1166,79,Germany,0
12709,2,20,15460.78,67.51432314410481,4855,128,Germany,0
12711,247,2,1233.45,21.266379310344828,674,54,Germany,1
12712,1,10,2773.05,19.667021276595747,1167,97,Germany,0
12714,24,7,8981.65,21.38488095238095,4793,316,France,0
12717,226,1,277.93,17.370625,94,16,Greece,1
12720,5,6,2451.1,16.020261437908495,1549,127,Germany,0
12721,21,2,1356.95,17.39679487179487,696,73,France,0
12724,19,3,1185.31,16.933,646,60,France,0
12725,7,4,2076.92,20.164271844660195,806,89,Italy,0
12726,23,4,940.86,21.383181818181818,863,27,France,0
12727,78,3,1698.8300000000002,26.544218750000002,734,44,France,0
12728,19,1,233.84,15.589333333333334,124,15,France,0
12730,157,1,829.25,17.643617021276597,234,47,Germany,1
12731,78,4,4042.4,41.248979591836736,1512,66,France,0
12733,25,3,2040.92,15.117925925925926,759,106,USA,0
12734,10,2,296.75,21.196428571428573,127,12,France,0
12737,134,2,3710.5,1855.25,2,2,France,1
12738,8,1,155.35,14.122727272727273,148,11,Germany,0
12739,21,2,1713.69,33.60176470588235,465,51,United Arab Emirates,0
12741,165,2,406.07,25.379375,214,16,USA,1
12742,261,1,1080.56,16.624,783,65,United Arab Emirates,1
12744,95,4,3065.53,27.12858407079646,1505,108,Singapore,1
12745,122,3,779.49,37.11857142857143,348,19,United Kingdom,1
12746,176,1,254.55,14.973529411764707,97,17,United Kingdom,1
12747,5,16,4477.83,29.8522,1329,66,United Kingdom,0
12748,1,144,19027.75,7.644736842105263,10176,1330,United Kingdom,0
12749,35,4,2806.48,20.1905035971223,889,121,United Kingdom,0
12751,80,1,268.27,4.326935483870967,189,61,Brazil,0
12755,21,9,867.5100000000001,17.01,418,31,Japan,0
12758,95,5,6038.93,29.60259803921569,3326,140,Portugal,1
12759,22,5,3469.14,16.840485436893204,2252,151,Netherlands,0
12760,91,1,347.8,16.561904761904763,198,21,Netherlands,0
12761,93,2,782.95,28.99814814814815,281,27,Netherlands,1
12763,5,1,320.08,20.005,196,16,Japan,0
12765,108,6,1226.38,18.581515151515152,901,49,Netherlands,1
12766,2,3,2915.4500000000003,20.38776223776224,1704,131,Portugal,0
12767,11,1,828.86,20.21609756097561,502,41,Korea,0
12768,86,1,150.45000000000002,16.71666666666667,54,9,Korea,0
12770,92,1,628.2,125.64000000000001,124,5,Japan,1
12771,121,1,282.3,18.82,104,15,Portugal,1
12773,200,1,37.25,7.45,49,5,Portugal,1
12774,171,1,98.7,16.45,53,6,Netherlands,1
12775,24,2,300.08000000000004,20.005333333333336,206,13,Netherlands,0
12776,303,1,55.5,13.875,46,4,Portugal,1
12777,93,1,424.95,18.476086956521737,233,23,United Kingdom,1
12778,32,3,885.53,14.516885245901639,742,53,Netherlands,0
12779,7,7,2680.91,21.109527559055117,1569,84,Poland,0
12780,234,1,297.08,16.504444444444445,189,18,Netherlands,1
12782,10,6,2287.32,18.446129032258067,931,94,Portugal,0
12784,165,1,1230.33,17.087916666666665,582,72,Portugal,1
12785,171,2,749.45,18.27926829268293,262,35,Portugal,1
12786,245,1,608.5000000000001,38.03125000000001,228,16,Netherlands,1
12787,49,1,398.52,16.605,249,24,Netherlands,0
12788,99,4,444.90000000000003,17.111538461538462,194,20,Netherlands,1
12789,148,2,181.5,45.375,32,2,Netherlands,1
12790,46,1,266.93,16.683125,140,16,Netherlands,0
12791,9,6,585.11,22.50423076923077,209,16,Netherlands,0
12792,170,1,426.47,19.385,177,22,Portugal,1
12793,7,2,471.85,17.475925925925928,231,23,Portugal,0
12796,264,1,381.0,54.42857142857143,182,7,Netherlands,1
12797,1,2,552.08,18.40266666666667,215,27,Portugal,0
12798,57,1,43.49,3.3453846153846154,79,13,Japan,0
12799,165,1,219.35,14.623333333333333,137,15,Japan,1
12800,106,3,584.25,17.183823529411764,284,31,Portugal,1
12801,136,1,1057.9,21.589795918367347,457,49,Sweden,1
12802,78,6,1820.52,16.702018348623852,1194,87,Netherlands,0
12803,29,1,972.81,18.35490566037736,776,53,Netherlands,0
12804,101,2,325.37,4.929848484848485,270,60,Netherlands,1
