InvoiceDate,Revenue,Orders,ItemsSold,Lag_1,Lag_7,Lag_30,RollingMean_7,RollingMean_30
2010-01-14,20000.78,53,8794,9305.98,5668.34,32618.91,14196.06,18425.361666666668
2010-01-15,10249.29,41,4606,20000.78,18238.08,29776.63,13054.804285714286,17774.450333333334
2010-01-17,12046.78,38,6170,10249.29,17080.99,35324.71,12335.631428571429,16998.519333333334
2010-01-18,8832.32,35,4331,12046.78,10626.68,26208.34,12079.294285714286,16419.318666666666
2010-01-19,16818.851,44,8101,8832.32,13052.75,8856.29,12617.308714285713,16684.737366666664
2010-01-20,10255.14,32,4312,16818.851,11067.16,23393.5,12501.305857142857,16246.792033333333
2010-01-21,18433.69,45,8056,10255.14,9305.98,28781.030000000002,13805.264428571429,15901.880700000002
2010-01-22,17533.95,39,7720,18433.69,20000.78,29750.52,13452.860142857144,15494.6617
2010-01-24,13505.54,49,6654,17533.95,10249.29,23960.510000000002,13918.038714285713,15146.162699999999
2010-01-25,17023.18,45,7558,13505.54,12046.78,27880.920000000002,14628.953,14784.238033333333
2010-01-26,19263.55,81,7869,17023.18,8832.32,18180.91,16119.128714285715,14820.326033333335
2010-01-27,14030.58,48,7174,19263.55,16818.851,18635.75,15720.804285714285,14666.820366666665
2010-01-28,16050.15,49,8591,14030.58,10255.14,29386.14,16548.662857142856,14222.287366666666
2010-01-29,21243.381,42,6141,16050.15,18433.69,27625.260000000002,16950.047285714285,14009.558066666668
2010-01-31,16321.82,48,8213,21243.381,17533.95,29149.02,16776.885857142857,13581.984733333335
2010-02-01,13888.871000000001,51,6455,16321.82,13505.54,24040.98,16831.64742857143,13243.581100000001
2010-02-02,16056.28,40,7612,13888.871000000001,17023.18,20440.06,16693.51885714286,13097.455100000001
2010-02-03,15640.381,43,7343,16056.28,19263.55,9945.81,16175.923285714287,13287.274133333332
2010-02-04,18720.77,56,9202,15640.381,14030.58,7421.66,16845.95042857143,13663.911133333335
2010-02-05,11011.24,36,5527,18720.77,16050.15,3267.87,16126.106142857143,13922.023466666667
2010-02-07,7877.96,28,3385,11011.24,21243.381,7069.04,14216.760285714287,13948.987466666667
2010-02-08,11864.76,49,5867,7877.96,16321.82,5830.97,13580.037428571432,14150.1138
2010-02-09,15830.380000000001,49,8453,11864.76,13888.871000000001,12794.17,13857.395857142856,14251.3208
2010-02-10,5816.4800000000005,27,2632,15830.380000000001,16056.28,5668.34,12394.567285714287,14256.2588
2010-02-11,11795.69,50,5041,5816.4800000000005,15640.381,18238.08,11845.325714285715,14041.512466666667
2010-02-12,7670.02,27,3974,11795.69,18720.77,17080.99,10266.647142857142,13727.813466666666
2010-02-14,14209.29,42,7242,7670.02,11011.24,10626.68,10723.511428571428,13847.233799999998
2010-02-15,18035.301,38,7289,14209.29,7877.96,13052.75,12174.560142857143,14013.318833333333
2010-02-16,19840.72,58,9443,18035.301,11864.76,11067.16,13313.983000000002,14305.770833333334
2010-02-17,16414.86,43,7646,19840.72,15830.380000000001,9305.98,13397.480142857143,14542.7335
2010-02-18,19369.1,60,8917,16414.86,5816.4800000000005,20000.78,15333.568714285715,14521.6775
2010-02-19,8818.19,29,4246,19369.1,11795.69,10249.29,14908.211571428572,14473.974166666669
2010-02-21,10752.621000000001,36,4662,8818.19,7670.02,12046.78,15348.583142857142,14430.835533333333
2010-02-22,22467.46,44,9271,10752.621000000001,14209.29,8832.32,16528.321714285714,14885.3402
2010-02-23,13637.710000000001,43,7028,22467.46,18035.301,16818.851,15900.094428571427,14779.302166666666
2010-02-24,14094.051,53,6240,13637.710000000001,19840.72,10255.14,15079.141714285714,14907.265866666667
2010-02-25,19725.76,60,9574,14094.051,16414.86,18433.69,15552.127428571428,14950.334866666668
2010-02-26,10861.701000000001,29,4904,19725.76,19369.1,17533.95,14336.784714285715,14727.926566666667
2010-02-28,14230.91,52,5977,10861.701000000001,8818.19,13505.54,15110.030428571428,14752.105566666667
2010-03-01,14246.57,53,6670,14230.91,10752.621000000001,17023.18,15609.166,14659.5519
2010-03-02,17895.78,50,7297,14246.57,22467.46,19263.55,14956.068857142856,14613.959566666665
2010-03-03,21970.64,60,10745,17895.78,13637.710000000001,14030.58,16146.487428571429,14878.628233333333
2010-03-04,25618.87,72,12652,21970.64,14094.051,16050.15,17792.890142857144,15197.585566666667
2010-03-05,13454.68,52,6789,25618.87,19725.76,21243.381,16897.02157142857,14937.9622
2010-03-07,17988.62,50,9914,13454.68,10861.701000000001,16321.82,17915.152857142857,14993.5222
2010-03-08,16384.420000000002,63,8028,17988.62,14230.91,13888.871000000001,18222.79714285714,15076.707166666667
2010-03-09,15027.87,48,7174,16384.420000000002,14246.57,16056.28,18334.411428571428,15042.426833333333
2010-03-10,17170.62,51,8589,15027.87,17895.78,15640.381,18230.817142857144,15093.434799999999
2010-03-11,14468.65,44,6494,17170.62,21970.64,18720.77,17159.104285714286,14951.697466666665
2010-03-12,11720.25,33,5218,14468.65,25618.87,11011.24,15173.58714285714,14975.331133333331
2010-03-14,6386.22,24,2947,11720.25,13454.68,7877.96,14163.807142857142,14925.606466666668
2010-03-15,14305.411,40,6879,6386.22,17988.62,11864.76,13637.63442857143,15006.961500000001
2010-03-16,15990.11,41,7445,14305.411,16384.420000000002,15830.380000000001,13581.30442857143,15012.285833333333
2010-03-17,18485.12,40,8681,15990.11,15027.87,5816.4800000000005,14075.197285714285,15434.573833333334
2010-03-18,22158.760000000002,74,10211,18485.12,17170.62,11795.69,14787.788714285716,15780.009500000002
2010-03-19,31130.08,49,7612,22158.760000000002,14468.65,7670.02,17167.993,16562.0115
2010-03-21,15620.03,54,7817,31130.08,11720.25,14209.29,17725.10442857143,16609.03616666667
2010-03-22,16754.18,49,8327,15620.03,6386.22,18035.301,19206.24157142857,16566.332133333333
2010-03-23,26659.99,62,6905,16754.18,14305.411,19840.72,20971.181428571428,16793.641133333334
2010-03-24,19288.2,64,9229,26659.99,15990.11,16414.86,21442.33714285714,16889.419133333333
2010-03-25,23187.15,73,10966,19288.2,18485.12,19369.1,22114.055714285718,17016.687466666666
2010-03-26,14532.64,50,6919,23187.15,22158.760000000002,8818.19,21024.609999999997,17207.169133333333
2010-03-28,19313.5,59,10251,14532.64,31130.08,10752.621000000001,19336.527142857143,17492.531766666667
2010-03-29,14807.92,51,8241,19313.5,15620.03,22467.46,19220.511428571426,17237.213766666668
2010-03-30,21141.24,63,10119,14807.92,16754.18,13637.710000000001,19847.234285714287,17487.331433333333
2010-03-31,20508.03,64,8940,21141.24,26659.99,14094.051,18968.382857142857,17701.130733333335
2010-04-01,22593.73,70,10098,20508.03,19288.2,19725.76,19440.601428571426,17796.729733333334
2010-04-06,12752.81,46,5646,22593.73,23187.15,10861.701000000001,17949.98142857143,17859.766699999996
2010-04-07,15984.29,55,6911,12752.81,14532.64,14230.91,18157.36,17918.2127
2010-04-08,22069.16,76,10526,15984.29,19313.5,14246.57,18551.02571428571,18178.9657
2010-04-09,10895.87,29,5630,22069.16,14807.92,17895.78,17992.161428571428,17945.635366666666
2010-04-11,13951.91,41,6863,10895.87,21141.24,21970.64,16965.114285714284,17678.344366666668
2010-04-12,17204.931,41,6764,13951.91,20508.03,25618.87,16493.243,17397.87973333333
2010-04-13,15219.16,45,7049,17204.931,22593.73,13454.68,15439.732999999998,17456.695733333334
2010-04-14,17896.29,40,7882,15219.16,12752.81,17988.62,16174.515857142858,17453.618066666666
2010-04-15,17345.7,64,8162,17896.29,15984.29,16384.420000000002,16369.003,17485.660733333334
2010-04-16,11670.48,35,6155,17345.7,22069.16,15027.87,14883.477285714285,17373.747733333334
2010-04-18,17179.52,54,7123,11670.48,10895.87,17170.62,15781.141571428572,17374.0444
2010-04-19,21438.46,57,10034,17179.52,13951.91,14468.65,16850.648714285715,17606.3714
2010-04-20,16778.85,61,8079,21438.46,17204.931,11720.25,16789.78,17774.991400000003
2010-04-21,20286.7,57,8226,16778.85,15219.16,6386.22,17513.714285714286,18238.340733333334
2010-04-22,21906.81,71,10662,20286.7,17896.29,14305.411,18086.645714285714,18491.7207
2010-04-23,12878.16,50,7267,21906.81,17345.7,15990.11,17448.425714285713,18387.98903333333
2010-04-25,14459.99,43,6548,12878.16,11670.48,18485.12,17846.927142857145,18253.818033333333
2010-04-26,19365.85,70,8757,14459.99,17179.52,22158.760000000002,18159.260000000002,18160.721033333335
2010-04-27,23817.13,66,11810,19365.85,21438.46,31130.08,18499.07,17916.956033333332
2010-04-28,25135.19,67,12118,23817.13,16778.85,15620.03,19692.83285714286,18234.128033333334
2010-04-29,26036.411,75,12540,25135.19,20286.7,16754.18,20514.220142857142,18543.53573333333
2010-04-30,12162.31,35,6189,26036.411,21906.81,26659.99,19122.148714285715,18060.279733333333
2010-05-02,11364.87,39,5366,12162.31,12878.16,19288.2,18905.964428571428,17796.168733333336
2010-05-04,16213.93,46,7649,11364.87,14459.99,23187.15,19156.527285714285,17563.728066666667
2010-05-05,17803.66,62,7898,16213.93,19365.85,14532.64,18933.357285714283,17672.762066666666
2010-05-06,28887.93,76,12276,17803.66,23817.13,19313.5,19657.757285714288,17991.909733333334
2010-05-07,18879.09,50,10300,28887.93,25135.19,14807.92,18764.028714285716,18127.615400000002
