StockCode,ProductName,TotalSold,TotalRevenue,AvgPrice,OrderFrequency,UniqueCustomers,AvgDailyDemand,AnnualDemand,EOQ
10002,INFLATABLE POLITICAL GLOBE ,2616,2207.22,0.8472222222222222,229,145,7.013404825737266,2559.892761394102,160.0
10080,GROOVY CACTUS INFLATABLE,12,10.2,0.85,5,4,0.032171581769437,11.742627345844504,11.0
10109,BENDY COLOUR PENCILS,4,1.68,0.42,1,1,0.010723860589812333,3.9142091152815013,6.0
10120,DOGGY RUBBER,411,86.31,0.21,35,32,1.1018766756032172,402.1849865951743,63.0
10123C,HEARTS WRAPPING TAPE ,240,156.0,0.65,41,34,0.6434316353887399,234.85254691689008,48.0
10123G,ARMY CAMO WRAPPING TAPE,38,24.700000000000003,0.65,10,10,0.10187667560321716,37.18498659517426,19.0
10124A,SPOTS ON RED BOOKCOVER TAPE,46,19.32,0.42,14,14,0.12332439678284182,45.01340482573727,21.0
10124G,ARMY CAMO BOOKCOVER TAPE,20,8.4,0.42,6,6,0.05361930294906166,19.571045576407506,14.0
10125,MINI FUNKY DESIGN TAPES,788,669.8,0.85,63,50,2.1126005361930296,771.0991957104558,88.0
10133,COLOURING PENCILS BROWN TUBE,817,691.85,0.8470114942528736,87,68,2.190348525469169,799.4772117962466,89.0
10134,COLOURING PENCILS BROWN TUBE,282,352.5,1.25,46,43,0.7560321715817694,275.9517426273458,53.0
10135,COLOURING PENCILS BROWN TUBE,1082,1348.7,1.2485820895522388,133,105,2.900804289544236,1058.7935656836462,103.0
10138,ASSORTED COLOUR JUMBO PEN,151,63.42,0.42,15,13,0.40482573726541554,147.76139410187668,38.0
11001,ASSTD DESIGN RACING CAR PEN,1502,2491.9,1.6754954954954955,109,91,4.02680965147453,1469.7855227882037,121.0
15030,FAN BLACK FRAME ,111,32.19,0.29,14,12,0.2975871313672922,108.61930294906165,33.0
15034,PAPER POCKET TRAVELING FAN ,1241,173.74,0.14,65,55,3.3270777479892764,1214.3833780160858,110.0
15036,ASSORTED COLOURS SILK FAN,4146,3048.32,0.7365040650406505,246,173,11.115281501340483,4057.0777479892763,201.0
15039,SANDALWOOD FAN,931,791.35,0.85,101,77,2.4959785522788205,911.0321715817695,95.0
15044A,PINK PAPER PARASOL ,472,1373.2,2.9389908256880735,109,76,1.2654155495978552,461.87667560321717,68.0
15044B,BLUE PAPER PARASOL ,419,1221.65,2.941578947368421,95,67,1.123324396782842,410.01340482573727,64.0
15044C,PURPLE PAPER PARASOL,392,1142.0000000000002,2.9418367346938776,97,67,1.0509383378016086,383.59249329758717,62.0
15044D,RED PAPER PARASOL,515,1500.0500000000002,2.939090909090909,108,64,1.3806970509383378,503.9544235924933,71.0
15056BL,EDWARDIAN PARASOL BLACK,2338,13369.1,5.795841784989858,483,237,6.2680965147453085,2287.8552278820375,151.0
15056N,EDWARDIAN PARASOL NATURAL,2416,13815.0,5.811098901098902,455,233,6.477211796246649,2364.182305630027,154.0
15056P,EDWARDIAN PARASOL PINK,714,4078.3,5.818131868131869,182,121,1.9142091152815013,698.6863270777479,84.0
15058A,BLUE WHITE SPOTS GARDEN PARASOL,271,1394.45,6.621428571428572,55,41,0.7265415549597856,265.18766756032176,51.0
15058B,PINK WHITE SPOTS GARDEN PARASOL,186,1054.7,7.182,50,39,0.49865951742627346,182.01072386058982,43.0
15058C,ICE CREAM DESIGN GARDEN PARASOL,220,1069.0,6.779268292682927,41,33,0.5898123324396782,215.28150134048255,46.0
15060B,FAIRY CAKE DESIGN UMBRELLA,684,2545.8,3.7413513513513514,185,127,1.8337801608579087,669.3297587131367,82.0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),251,62.75,0.25,16,12,0.6729222520107239,245.6166219839142,50.0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,14,1.68,0.12,2,2,0.03753351206434316,13.699731903485254,12.0
16011, ANIMAL STICKERS,1161,242.61,0.20910714285714285,56,45,3.1126005361930296,1136.099195710456,107.0
