Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12346,165,11,372.86,2,5,2,9,At Risk,0
12347,3,2,1323.32,5,2,4,11,New Customers,3
12348,74,1,222.15999999999997,2,1,1,4,Hibernating,1
12349,43,3,2630.34,3,3,5,11,Loyal Customers,0
12351,11,1,300.93,5,1,2,8,New Customers,3
12352,11,2,343.8,5,2,2,9,New Customers,3
12353,44,1,317.76,3,1,2,6,Potential Loyalists,3
12355,203,1,457.01,1,1,3,5,Cant Lose Them,1
12356,16,3,2094.12,4,3,5,12,Loyal Customers,0
12357,24,2,10130.47,4,2,5,11,New Customers,0
12358,11,3,1750.01,5,3,4,12,Loyal Customers,0
12359,61,6,2427.36,3,4,5,12,Loyal Customers,0
12360,15,5,1522.19,5,4,4,13,Champions,0
12361,98,3,321.35,2,3,2,7,At Risk,1
12362,374,1,130.0,1,1,1,3,Lost,1
12368,264,1,845.2,1,1,3,5,Cant Lose Them,1
12369,49,3,1642.43,3,3,4,10,Loyal Customers,0
12370,260,3,774.62,1,3,3,7,At Risk,0
12371,45,3,2179.42,3,3,5,11,Loyal Customers,0
12373,260,2,763.0500000000001,1,2,3,6,Cant Lose Them,1
12374,57,3,2246.29,3,3,5,11,Loyal Customers,0
12376,25,2,263.15,4,2,2,8,New Customers,3
12377,17,2,1644.1200000000001,4,2,4,10,New Customers,3
12378,198,1,1373.6200000000001,1,1,4,6,Cant Lose Them,1
12379,58,2,767.98,3,2,3,8,Potential Loyalists,0
12380,101,7,6669.97,2,5,5,12,At Risk,0
12385,15,1,1938.4,5,1,5,11,New Customers,3
12386,2,1,215.70000000000002,5,1,1,7,New Customers,3
12387,51,1,143.94,3,1,1,5,Potential Loyalists,1
12388,81,2,1120.45,2,2,4,8,Cant Lose Them,0
12389,38,3,1229.33,3,3,4,10,Loyal Customers,0
12391,100,4,2133.98,2,4,5,11,At Risk,0
12392,227,1,234.75000000000003,1,1,2,4,Lost,1
12393,18,2,816.85,4,2,3,9,New Customers,3
12395,7,4,1751.04,5,4,4,13,Champions,2
12396,310,1,931.4300000000001,1,1,4,6,Cant Lose Them,1
12399,21,3,633.09,4,3,3,10,Loyal Customers,3
12400,50,1,205.25,3,1,1,5,Potential Loyalists,1
12402,28,5,1031.3,4,4,4,12,Champions,0
12403,157,1,103.5,2,1,1,4,Hibernating,1
12404,318,1,63.24,1,1,1,3,Lost,1
12406,35,3,2218.02,4,3,5,12,Loyal Customers,0
12408,21,3,1230.94,4,3,4,11,Loyal Customers,0
12409,56,3,4998.68,3,3,5,11,Loyal Customers,0
12410,138,1,320.38,2,1,2,5,Hibernating,1
12411,45,1,346.9,3,1,2,6,Potential Loyalists,3
12412,38,3,1217.41,3,3,4,10,Loyal Customers,0
12413,38,1,241.35,3,1,2,6,Potential Loyalists,3
12414,99,3,390.0,2,3,2,7,At Risk,0
12415,11,7,5604.4,5,5,5,15,Champions,2
12416,292,1,202.56,1,1,1,3,Lost,1
12417,46,11,3065.15,3,5,5,13,Loyal Customers,2
12418,49,3,1338.7,3,3,4,10,Loyal Customers,0
12419,21,2,503.01,4,2,3,9,New Customers,3
12421,51,2,291.56,3,2,2,7,Potential Loyalists,3
12422,30,14,3524.84,4,5,5,14,Champions,2
12423,23,2,763.08,4,2,3,9,New Customers,3
12424,58,2,1244.03,3,2,4,9,Potential Loyalists,0
12425,84,1,923.89,2,1,4,7,Cant Lose Them,1
12426,298,1,762.48,1,1,3,5,Cant Lose Them,1
12427,7,1,303.5,5,1,2,8,New Customers,3
12429,1,5,2562.39,5,4,5,14,Champions,2
12431,9,13,3952.92,5,5,5,15,Champions,2
12433,2,5,5742.03,5,4,5,14,Champions,2
12434,17,1,297.29,4,1,2,7,New Customers,3
12435,32,3,3165.88,4,3,5,12,Loyal Customers,0
12437,31,21,7311.99,4,5,5,14,Champions,2
12439,318,2,1142.88,1,2,4,7,Cant Lose Them,0
12440,98,2,859.2,2,2,3,7,Cant Lose Them,0
12441,2,1,173.55,5,1,1,7,New Customers,3
12443,368,1,485.31,1,1,3,5,Cant Lose Them,1
12445,56,1,301.58000000000004,3,1,2,6,Potential Loyalists,1
12449,46,2,151.2,3,2,1,6,Potential Loyalists,3
12450,35,3,490.32,4,3,3,10,Loyal Customers,3
12451,99,3,3347.2200000000003,2,3,5,10,At Risk,0
12454,31,4,1214.0,4,4,4,12,Champions,0
12455,81,4,3086.69,2,4,5,11,At Risk,0
12457,71,1,596.2,3,1,3,7,Potential Loyalists,1
12458,63,2,830.09,3,2,3,8,Potential Loyalists,0
12459,241,1,434.2,1,1,2,4,Lost,1
12460,92,1,326.65,2,1,2,5,Hibernating,1
12466,318,1,56.73,1,1,1,3,Lost,1
12467,59,1,132.8,3,1,1,5,Potential Loyalists,1
12468,162,3,2295.12,2,3,5,10,At Risk,0
12469,158,1,1113.7,2,1,4,7,Cant Lose Them,1
12470,325,1,211.95,1,1,1,3,Lost,1
12471,10,49,18847.18,5,5,5,15,Champions,2
12472,5,13,11069.92,5,5,5,15,Champions,2
12474,14,13,5008.34,5,5,5,15,Champions,2
12475,45,1,426.26,3,1,2,6,Potential Loyalists,3
12476,32,12,7034.21,4,5,5,14,Champions,2
12477,35,3,6723.63,4,3,5,12,Loyal Customers,0
12480,35,3,1865.22,4,3,5,12,Loyal Customers,0
12481,1,6,4457.05,5,4,5,14,Champions,2
12482,233,15,3403.0,1,5,5,11,At Risk,0
12483,14,10,2173.6,5,5,5,15,Champions,2
12484,119,6,1602.5,2,4,4,10,At Risk,0
12485,165,1,708.1,2,1,3,6,Cant Lose Them,1
12486,67,1,996.0,3,1,4,8,Potential Loyalists,3
12487,366,1,76.5,1,1,1,3,Lost,1
12490,14,11,4141.2300000000005,5,5,5,15,Champions,2
12492,39,1,452.0,3,1,3,7,Potential Loyalists,3
12494,1,3,612.85,5,3,3,11,Loyal Customers,3
12495,276,1,357.4,1,1,2,4,Lost,1
12496,256,2,45.34,1,2,1,4,Hibernating,1
12497,36,2,1219.0400000000002,4,2,4,10,New Customers,0
12499,196,1,373.56,1,1,2,4,Lost,1
12500,71,8,1394.99,3,5,4,12,Loyal Customers,0
12503,220,1,230.0,1,1,2,4,Lost,1
12504,53,2,165.0,3,2,1,6,Potential Loyalists,1
12505,44,1,955.2,3,1,4,8,Potential Loyalists,3
12507,220,1,539.25,1,1,3,5,Cant Lose Them,1
12510,95,7,4060.57,2,5,5,12,At Risk,0
12511,64,1,2956.82,3,1,5,9,Potential Loyalists,0
12514,277,1,580.08,1,1,3,5,Cant Lose Them,1
12516,66,2,1203.6,3,2,4,9,Potential Loyalists,0
12519,112,1,371.78000000000003,2,1,2,5,Hibernating,1
12523,10,12,2527.66,5,5,5,15,Champions,2
12524,24,8,3214.51,4,5,5,14,Champions,2
12525,134,3,973.73,2,3,4,9,At Risk,0
12527,130,2,266.8,2,2,2,6,Hibernating,1
12529,164,1,316.48,2,1,2,5,Hibernating,1
12530,51,5,1654.22,3,4,4,11,Loyal Customers,0
12531,322,1,1807.98,1,1,4,6,Cant Lose Them,1
12533,263,2,1367.89,1,2,4,7,Cant Lose Them,0
12537,44,1,732.94,3,1,3,7,Potential Loyalists,3
12538,14,1,276.5,5,1,2,8,New Customers,3
12539,86,3,5444.8,2,3,5,10,At Risk,0
12540,14,16,8285.130000000001,5,5,5,15,Champions,2
